player_id,player_name,surface,ranking,ace,df,firstIn,firstWon,secondWon,bpFaced,bpSaved,SvGms
 103163,Tommy Haas         ,Clay               ,112,6,4,61,42,17,10,6,16
 103163,Tommy Haas         ,Hard               ,86,10,3,52,41,17,6,4,13
 103285,Radek Stepanek     ,Clay               ,25,0,2,50,37,12,4,2,12
 103285,Radek Stepanek     ,Gras               ,27,4,1,34,25,13,2,1,10
 103285,Radek Stepanek     ,Hard               ,34,5,2,34,27,12,3,2,9
 103333,Ivo Karlovic       ,Gras               ,59,26,3,62,56,14,5,4,16
 103333,Ivo Karlovic       ,Hard               ,56,24,3,78,59,22,8,6,18
 103720,Lleyton Hewitt     ,Hard               ,154,9,6,59,46,32,10,8,18
 103794,Benjamin Becker    ,Gras               ,124,27,3,87,65,21,9,6,20
 103794,Benjamin Becker    ,Hard               ,165,24,2,50,39,24,2,1,15
 103813,Jarkko Nieminen    ,Clay               ,48,3,1,47,32,10,4,2,10
 103813,Jarkko Nieminen    ,Gras               ,44,9,0,97,72,27,3,2,21
 103813,Jarkko Nieminen    ,Hard               ,42,1,0,26,22,7,0,0,7
 103819,Roger Federer      ,Clay               ,3,8,2,59,45,24,6,4,16
 103819,Roger Federer      ,Gras               ,3,10,2,66,51,19,4,3,17
 103819,Roger Federer      ,Hard               ,2,9,2,42,35,16,2,2,12
 103852,Feliciano Lopez    ,Hard               ,24,13,7,72,55,32,8,6,19
 103893,Paolo Lorenzi      ,Clay               ,96,1,4,36,26,22,6,3,13
 103898,Julien Benneteau   ,Clay               ,31,5,4,64,46,11,7,4,14
 103898,Julien Benneteau   ,Gras               ,32,14,4,78,60,19,6,4,18
 103898,Julien Benneteau   ,Hard               ,36,10,4,64,47,20,8,6,16
 103908,Paul Henri Mathieu ,Clay               ,291,4,7,76,58,31,7,5,22
 103908,Paul Henri Mathieu ,Hard               ,96,10,8,66,48,31,16,12,18
 103970,David Ferrer       ,Clay               ,6,2,2,53,39,15,6,4,12
 103970,David Ferrer       ,Gras               ,5,6,1,62,48,22,4,3,16
 103970,David Ferrer       ,Hard               ,5,4,3,53,39,19,5,4,14
 103990,Tommy Robredo      ,Hard               ,178,10,4,54,45,17,3,3,14
 104022,Mikhail Youzhny    ,Clay               ,31,5,3,49,37,17,5,3,14
