player_id,player_name,surface,ranking,ace,df,firstIn,firstWon,secondWon,bpFaced,bpSaved,SvGms
 103163,Tommy Haas         ,Hard               ,17,15,6,80,56,28,10,6,20
 103285,Radek Stepanek     ,Hard               ,41,6,0,36,29,12,2,2,9
 103333,Ivo Karlovic       ,Hard               ,36,30,4,72,62,20,9,7,19
 103720,Lleyton Hewitt     ,Clay               ,33,5,4,54,40,26,7,4,16
 103720,Lleyton Hewitt     ,Gras               ,26,8,3,45,39,20,3,1,15
 103720,Lleyton Hewitt     ,Hard               ,24,6,1,36,28,15,3,2,10
 103794,Benjamin Becker    ,Clay               ,40,11,0,36,26,13,3,2,9
 103794,Benjamin Becker    ,Gras               ,71,27,3,65,60,13,5,3,19
 103794,Benjamin Becker    ,Hard               ,47,8,4,40,32,17,5,2,12
 103813,Jarkko Nieminen    ,Gras               ,67,7,4,104,70,16,11,8,21
 103813,Jarkko Nieminen    ,Hard               ,86,1,0,56,40,14,6,6,12
 103819,Roger Federer      ,Clay               ,1,6,1,54,42,18,3,3,14
 103819,Roger Federer      ,Gras               ,2,14,3,65,52,25,4,3,18
 103819,Roger Federer      ,Hard               ,2,10,1,48,38,17,4,3,13
 103852,Feliciano Lopez    ,Clay               ,35,12,2,48,38,20,6,5,12
 103852,Feliciano Lopez    ,Gras               ,30,22,4,64,53,32,7,5,20
 103852,Feliciano Lopez    ,Hard               ,34,13,4,53,42,22,5,4,15
 103893,Paolo Lorenzi      ,Clay               ,96,5,2,46,31,18,15,11,13
 103898,Julien Benneteau   ,Clay               ,37,4,3,63,41,15,10,7,13
 103898,Julien Benneteau   ,Gras               ,40,21,5,100,73,22,13,9,22
 103898,Julien Benneteau   ,Hard               ,35,10,5,60,45,14,6,4,14
 103908,Paul Henri Mathieu ,Gras               ,66,13,5,69,56,36,7,4,21
 103908,Paul Henri Mathieu ,Hard               ,90,10,5,59,45,25,7,5,16
 103970,David Ferrer       ,Clay               ,16,2,1,40,29,10,4,2,10
 103970,David Ferrer       ,Gras               ,11,15,3,79,60,23,8,5,21
