player_id,player_name,surface,ranking,ace,df,firstIn,firstWon,secondWon,bpFaced,bpSaved,SvGms
 103163,Tommy Haas         ,Clay               ,14,8,5,78,60,24,8,6,18
 103163,Tommy Haas         ,Gras               ,13,16,2,62,52,20,5,4,17
 103163,Tommy Haas         ,Hard               ,16,8,3,41,33,17,3,2,12
 103285,Radek Stepanek     ,Gras               ,45,8,1,48,37,17,2,2,13
 103285,Radek Stepanek     ,Hard               ,44,8,6,64,45,17,8,4,16
 103333,Ivo Karlovic       ,Hard               ,111,25,7,75,64,26,6,4,21
 103720,Lleyton Hewitt     ,Gras               ,70,5,1,56,37,26,10,8,15
 103720,Lleyton Hewitt     ,Hard               ,81,8,5,57,41,31,8,5,17
 103794,Benjamin Becker    ,Hard               ,84,10,5,47,36,25,8,4,16
 103813,Jarkko Nieminen    ,Clay               ,46,4,2,73,48,20,10,7,16
 103813,Jarkko Nieminen    ,Hard               ,52,6,2,54,38,19,9,6,14
 103819,Roger Federer      ,Clay               ,3,6,1,45,35,15,3,2,12
 103819,Roger Federer      ,Gras               ,3,7,0,39,35,14,0,0,12
 103819,Roger Federer      ,Hard               ,4,8,2,50,40,16,3,2,13
 103852,Feliciano Lopez    ,Clay               ,43,14,2,84,60,31,9,6,22
 103852,Feliciano Lopez    ,Gras               ,32,17,2,40,37,13,0,0,11
 103852,Feliciano Lopez    ,Hard               ,30,18,4,50,40,25,5,4,15
 103893,Paolo Lorenzi      ,Hard               ,49,1,2,39,29,16,4,3,11
 103898,Julien Benneteau   ,Clay               ,32,8,3,94,68,18,10,6,20
 103898,Julien Benneteau   ,Gras               ,33,12,6,86,65,26,7,5,20
 103898,Julien Benneteau   ,Hard               ,36,8,4,61,45,20,8,5,16
 103908,Paul Henri Mathieu ,Gras               ,82,26,4,88,73,30,8,7,23
 103970,David Ferrer       ,Clay               ,5,2,3,46,33,21,5,2,14
 103970,David Ferrer       ,Gras               ,4,6,5,84,65,22,6,4,21
 103970,David Ferrer       ,Hard               ,4,6,2,57,41,18,7,4,15
 103990,Tommy Robredo      ,Clay               ,34,8,3,87,63,25,8,4,21
 103990,Tommy Robredo      ,Gras               ,29,8,2,56,46,20,1,1,14
 103990,Tommy Robredo      ,Hard               ,22,9,4,66,50,22,9,7,16
 104022,Mikhail Youzhny    ,Clay               ,30,5,3,65,48,16,6,5,14
 104022,Mikhail Youzhny    ,Gras               ,26,7,2,75,60,24,4,3,19
 104022,Mikhail Youzhny    ,Hard               ,25,7,4,63,45,22,9,6,16
 104122,Carlos Berlocq     ,Hard               ,74,5,4,65,48,19,7,4,16
