player_id,player_name,surface,ranking,ace,df,firstIn,firstWon,secondWon,bpFaced,bpSaved,SvGms
 103163,Tommy Haas         ,Gras               ,861,5,3,75,61,11,8,6,18
 103285,Radek Stepanek     ,Clay               ,129,9,1,76,57,20,11,9,19
 103333,Ivo Karlovic       ,Gras               ,25,45,6,99,88,25,1,0,26
 103333,Ivo Karlovic       ,Hard               ,23,22,3,53,47,13,3,3,14
 103607,Victor Estrella    ,Clay               ,55,1,1,50,32,16,2,0,11
 103607,Victor Estrella    ,Gras               ,48,11,6,66,54,25,7,5,20
 103720,Lleyton Hewitt     ,Hard               ,221,6,4,44,33,20,8,6,13
 103794,Benjamin Becker    ,Clay               ,48,10,4,113,77,30,12,6,26
 103794,Benjamin Becker    ,Hard               ,41,16,2,74,54,27,8,4,21
 103813,Jarkko Nieminen    ,Gras               ,92,10,4,117,77,26,17,10,27
 103813,Jarkko Nieminen    ,Hard               ,71,4,2,61,44,14,9,6,13
 103819,Roger Federer      ,Clay               ,2,5,1,43,34,15,3,1,12
 103819,Roger Federer      ,Gras               ,2,11,1,53,45,17,1,0,15
 103819,Roger Federer      ,Hard               ,2,8,2,41,33,16,1,1,12
 103852,Feliciano Lopez    ,Clay               ,13,13,3,46,34,12,1,0,11
 103852,Feliciano Lopez    ,Gras               ,16,14,2,52,43,26,1,1,15
 103852,Feliciano Lopez    ,Hard               ,17,16,4,56,43,24,8,6,16
 103893,Paolo Lorenzi      ,Hard               ,64,5,0,50,37,19,0,0,14
 103970,David Ferrer       ,Clay               ,8,3,3,45,34,15,4,3,12
 103970,David Ferrer       ,Hard               ,8,2,3,58,43,18,7,4,15
 103990,Tommy Robredo      ,Clay               ,20,4,2,56,39,13,8,5,13
 103990,Tommy Robredo      ,Hard               ,23,6,2,51,39,20,5,4,14
 104022,Mikhail Youzhny    ,Hard               ,93,5,4,47,35,18,5,2,14
 104122,Carlos Berlocq     ,Clay               ,111,11,4,107,72,33,17,13,24
 104122,Carlos Berlocq     ,Hard               ,68,3,5,60,41,13,10,6,13
 104180,Gilles Muller      ,Clay               ,55,19,4,106,84,30,12,7,27
 104180,Gilles Muller      ,Hard               ,44,20,3,56,49,21,4,4,15
 104198,Guillermo Garcia Lo,Clay               ,28,6,3,37,29,12,4,4,9
 104198,Guillermo Garcia Lo,Hard               ,33,8,6,55,42,28,7,5,16
 104229,Yen Hsun Lu        ,Clay               ,65,15,2,89,68,20,11,9,19
 104259,Philipp Kohlschreib,Clay               ,25,4,1,31,26,12,2,1,10
 104259,Philipp Kohlschreib,Hard               ,28,9,2,50,38,19,4,3,14
 104269,Fernando Verdasco  ,Clay               ,34,5,2,41,33,19,1,0,14
 104269,Fernando Verdasco  ,Gras               ,43,22,11,104,84,40,11,9,30
 104269,Fernando Verdasco  ,Hard               ,36,10,5,62,48,18,7,5,15
 104291,Malek Jaziri       ,Hard               ,79,6,4,58,43,27,12,9,17
 104312,Andreas Seppi      ,Gras               ,27,10,2,62,48,20,5,2,18
 104312,Andreas Seppi      ,Hard               ,35,9,3,61,47,23,7,5,16
 104338,Juan Monaco        ,Clay               ,38,0,1,78,50,17,8,5,16
 104338,Juan Monaco        ,Gras               ,35,5,5,65,51,11,7,7,13
 104338,Juan Monaco        ,Hard               ,47,2,1,55,38,9,6,4,12
 104424,Go Soeda           ,Hard               ,92,5,4,79,53,33,14,9,22
 104460,Dustin Brown       ,Gras               ,102,14,7,76,60,21,5,2,20
 104468,Gilles Simon       ,Clay               ,13,5,4,53,38,24,8,5,15
 104468,Gilles Simon       ,Gras               ,13,6,2,67,49,23,5,3,17
 104468,Gilles Simon       ,Hard               ,15,4,3,42,31,18,4,2,12
 104471,Ivan Dodig         ,Hard               ,91,10,6,51,38,16,6,4,13
 104527,Stanislas Wawrinka ,Clay               ,9,7,3,50,39,24,7,5,15
 104527,Stanislas Wawrinka ,Gras               ,4,17,4,56,48,23,2,2,16
 104527,Stanislas Wawrinka ,Hard               ,5,11,4,58,47,26,5,3,16
 104542,Jo Wilfried Tsonga ,Clay               ,15,7,2,51,40,18,4,3,14
 104542,Jo Wilfried Tsonga ,Gras               ,12,28,4,73,65,20,6,4,20
 104542,Jo Wilfried Tsonga ,Hard               ,20,12,1,44,36,20,2,1,14
 104545,John Isner         ,Clay               ,18,15,1,50,40,11,3,2,12
 104545,John Isner         ,Gras               ,17,30,2,65,56,11,2,1,16
 104545,John Isner         ,Hard               ,18,18,2,50,43,16,2,2,13
 104559,Teymuraz Gabashvili,Clay               ,74,7,2,61,46,21,7,6,15
 104559,Teymuraz Gabashvili,Hard               ,66,8,6,60,39,22,14,8,16
 104571,Marcos Baghdatis   ,Clay               ,59,8,8,36,32,40,3,2,16
 104571,Marcos Baghdatis   ,Gras               ,54,12,4,80,58,34,10,6,22
 104571,Marcos Baghdatis   ,Hard               ,72,16,4,62,45,21,7,4,16
 104586,Lukas Rosol        ,Clay               ,43,6,4,44,38,19,1,0,14
 104586,Lukas Rosol        ,Gras               ,41,14,10,62,48,28,7,5,16
 104586,Lukas Rosol        ,Hard               ,45,7,5,60,46,26,7,5,16
 104594,Marinko Matosevic  ,Hard               ,81,10,7,106,72,37,8,4,27
 104597,Nicolas Almagro    ,Clay               ,164,8,2,60,46,14,6,4,15
 104597,Nicolas Almagro    ,Hard               ,74,16,5,65,48,27,6,5,16
 104607,Tomas Berdych      ,Clay               ,6,5,2,44,35,19,5,3,12
 104607,Tomas Berdych      ,Gras               ,6,14,3,67,56,24,5,3,18
 104607,Tomas Berdych      ,Hard               ,8,9,2,42,34,19,4,3,12
 104620,Simone Bolelli     ,Clay               ,60,4,2,52,40,16,3,2,14
 104620,Simone Bolelli     ,Hard               ,48,3,1,49,38,16,6,4,13
 104655,Pablo Cuevas       ,Clay               ,23,7,1,80,56,26,9,8,18
 104655,Pablo Cuevas       ,Hard               ,32,8,4,60,44,16,12,8,16
 104660,Sergiy Stakhovsky  ,Clay               ,52,8,2,58,45,20,4,2,15
 104660,Sergiy Stakhovsky  ,Hard               ,60,10,4,72,53,26,11,8,18
 104665,Pablo Andujar      ,Clay               ,42,2,3,82,54,26,11,7,20
 104665,Pablo Andujar      ,Gras               ,37,8,5,92,64,34,10,6,24
 104665,Pablo Andujar      ,Hard               ,48,1,1,33,22,15,2,2,9
 104678,Viktor Troicki     ,Clay               ,34,12,0,71,54,24,8,7,17
 104678,Viktor Troicki     ,Gras               ,24,17,4,71,57,19,7,5,19
 104678,Viktor Troicki     ,Hard               ,38,13,2,64,47,23,6,4,18
 104719,Marcel Granollers  ,Clay               ,60,6,4,46,38,16,5,4,12
 104719,Marcel Granollers  ,Gras               ,72,4,3,75,54,12,9,8,14
 104719,Marcel Granollers  ,Hard               ,68,8,4,52,40,17,7,6,14
 104731,Kevin Anderson     ,Clay               ,16,13,3,53,42,16,7,5,14
 104731,Kevin Anderson     ,Gras               ,14,26,7,61,53,26,3,2,19
 104731,Kevin Anderson     ,Hard               ,15,19,4,66,54,19,5,3,16
 104745,Rafael Nadal       ,Clay               ,6,2,1,51,38,13,4,2,13
 104745,Rafael Nadal       ,Gras               ,10,1,5,49,32,22,6,4,14
 104745,Rafael Nadal       ,Hard               ,5,3,3,50,39,14,5,3,13
 104755,Richard Gasquet    ,Clay               ,21,4,2,59,45,23,6,4,16
 104755,Richard Gasquet    ,Gras               ,20,7,3,66,53,24,5,3,18
 104755,Richard Gasquet    ,Hard               ,16,8,2,54,42,18,4,3,14
 104792,Gael Monfils       ,Clay               ,16,9,3,67,48,20,8,5,16
 104792,Gael Monfils       ,Gras               ,18,16,3,52,46,22,2,1,16
 104792,Gael Monfils       ,Hard               ,18,9,4,57,43,19,7,6,14
 104797,Denis Istomin      ,Hard               ,68,10,2,54,40,26,8,6,15
 104871,Jeremy Chardy      ,Clay               ,42,8,1,53,41,19,3,2,15
 104871,Jeremy Chardy      ,Hard               ,37,9,4,59,47,18,5,3,15
 104882,Blaz Kavcic        ,Gras               ,107,13,4,78,58,16,10,6,16
 104890,Andreas Haider Maur,Clay               ,52,8,2,52,36,20,9,8,12
 104890,Andreas Haider Maur,Hard               ,66,10,8,61,49,34,6,4,20
 104898,Robin Haase        ,Gras               ,78,10,5,60,44,25,8,6,17
 104898,Robin Haase        ,Hard               ,96,7,2,51,38,20,5,4,14
 104918,Andy Murray        ,Clay               ,3,7,2,53,42,17,6,4,15
 104918,Andy Murray        ,Gras               ,3,8,3,64,50,18,5,3,16
 104918,Andy Murray        ,Hard               ,4,8,2,50,38,16,5,3,13
 104919,Leonardo Mayer     ,Clay               ,23,10,4,70,54,19,6,4,19
 104919,Leonardo Mayer     ,Gras               ,21,12,2,66,55,24,3,2,16
 104919,Leonardo Mayer     ,Hard               ,29,6,4,44,36,13,2,1,11
 104925,Novak Djokovic     ,Clay               ,1,4,1,51,39,14,4,2,13
 104925,Novak Djokovic     ,Gras               ,1,11,2,73,56,20,5,4,17
 104925,Novak Djokovic     ,Hard               ,1,6,2,51,38,17,5,3,14
 104926,Fabio Fognini      ,Clay               ,29,6,3,46,34,16,6,4,12
 104926,Fabio Fognini      ,Gras               ,28,1,4,48,33,19,6,4,13
 104926,Fabio Fognini      ,Hard               ,32,5,7,69,50,28,13,8,19
 104932,Kenny De Schepper  ,Gras               ,163,19,5,105,80,26,4,2,26
 104947,Marsel Ilhan       ,Clay               ,87,3,1,38,26,14,6,6,8
 104947,Marsel Ilhan       ,Gras               ,82,15,4,90,73,24,3,2,22
 104947,Marsel Ilhan       ,Hard               ,84,13,1,65,46,19,9,6,15
 104979,Andrey Golubev     ,Hard               ,92,16,5,82,54,25,12,10,17
 104997,Igor Sijsling      ,Hard               ,134,9,2,65,35,26,16,13,13
 105023,Sam Querrey        ,Gras               ,36,30,3,44,41,23,0,0,16
 105023,Sam Querrey        ,Hard               ,36,11,3,29,27,16,1,1,10
 105032,Samuel Groth       ,Gras               ,69,20,4,68,55,22,6,5,18
 105032,Samuel Groth       ,Hard               ,73,22,5,68,53,22,3,2,18
 105041,Lukas Lacko        ,Hard               ,99,18,0,85,70,22,5,1,24
 105053,Santiago Giraldo   ,Clay               ,64,6,1,61,38,15,7,2,15
 105053,Santiago Giraldo   ,Gras               ,60,4,0,28,18,8,2,2,7
 105053,Santiago Giraldo   ,Hard               ,32,6,2,46,38,12,3,2,12
 105062,Mikhail Kukushkin  ,Hard               ,56,4,1,47,35,27,5,3,16
 105064,Thomaz Bellucci    ,Clay               ,59,5,2,38,27,17,5,3,11
 105064,Thomaz Bellucci    ,Hard               ,48,10,4,55,40,24,10,8,14
 105077,Albert Ramos       ,Clay               ,67,1,2,27,22,9,1,1,7
 105077,Albert Ramos       ,Gras               ,65,3,1,31,25,20,3,3,10
 105077,Albert Ramos       ,Hard               ,68,6,2,30,24,12,3,3,9
 105138,Roberto Bautista Ag,Clay               ,18,3,1,44,34,12,5,3,11
 105138,Roberto Bautista Ag,Gras               ,22,5,3,69,52,16,4,3,16
 105138,Roberto Bautista Ag,Hard               ,20,5,5,61,43,23,8,6,15
 105173,Adrian Mannarino   ,Gras               ,34,7,2,63,49,30,6,5,18
 105173,Adrian Mannarino   ,Hard               ,36,4,2,49,38,17,8,6,12
 105208,Ernests Gulbis     ,Clay               ,29,15,5,54,42,25,6,4,16
 105208,Ernests Gulbis     ,Hard               ,69,12,3,43,35,14,3,2,12
 105227,Marin Cilic        ,Clay               ,10,9,1,49,39,18,3,3,13
 105227,Marin Cilic        ,Gras               ,9,25,4,92,76,28,7,5,24
 105227,Marin Cilic        ,Hard               ,9,19,4,62,51,28,6,4,19
 105238,Alexandr Dolgopolov,Clay               ,76,7,2,34,29,18,8,6,12
 105238,Alexandr Dolgopolov,Gras               ,70,8,6,59,45,18,3,2,14
 105238,Alexandr Dolgopolov,Hard               ,59,7,2,40,31,14,3,2,11
 105311,Joao Sousa         ,Clay               ,50,6,4,44,35,14,8,5,12
 105311,Joao Sousa         ,Hard               ,51,5,1,64,48,18,6,4,15
 105373,Martin Klizan      ,Clay               ,36,5,2,46,38,13,5,4,13
 105373,Martin Klizan      ,Hard               ,38,8,5,51,40,20,6,4,14
 105385,Donald Young       ,Hard               ,62,4,5,51,36,21,9,6,14
 105449,Steve Johnson      ,Clay               ,56,8,4,87,62,30,12,8,22
 105449,Steve Johnson      ,Gras               ,52,33,10,84,74,38,9,8,25
 105449,Steve Johnson      ,Hard               ,41,12,2,48,39,18,3,3,12
 105453,Kei Nishikori      ,Clay               ,5,5,3,48,38,17,3,2,13
 105453,Kei Nishikori      ,Gras               ,5,14,4,82,61,38,4,3,23
 105453,Kei Nishikori      ,Hard               ,5,6,3,44,34,17,4,3,12
 105526,Jan Lennard Struff ,Hard               ,72,12,8,53,39,24,12,6,16
 105575,Ricardas Berankis  ,Gras               ,90,5,1,22,17,14,1,1,7
 105575,Ricardas Berankis  ,Hard               ,82,8,6,92,68,37,14,9,24
 105577,Vasek Pospisil     ,Gras               ,56,20,5,85,73,26,5,3,24
 105577,Vasek Pospisil     ,Hard               ,56,14,4,52,40,23,5,4,14
 105583,Dusan Lajovic      ,Clay               ,67,2,1,62,46,11,2,2,13
 105643,Federico Delbonis  ,Hard               ,78,2,4,56,38,16,8,6,13
 105668,Jerzy Janowicz     ,Clay               ,50,15,6,86,64,26,10,7,21
 105668,Jerzy Janowicz     ,Hard               ,48,10,6,59,44,15,6,4,15
 105676,David Goffin       ,Clay               ,20,6,4,47,35,22,6,3,15
 105676,David Goffin       ,Gras               ,15,11,4,47,41,16,4,3,13
 105676,David Goffin       ,Hard               ,16,7,4,44,34,20,6,5,13
 105683,Milos Raonic       ,Clay               ,6,8,2,44,37,16,1,0,12
 105683,Milos Raonic       ,Gras               ,8,27,5,78,64,23,3,2,19
 105683,Milos Raonic       ,Hard               ,7,18,4,56,47,20,3,2,15
 105723,Andrey Kuznetsov   ,Clay               ,120,6,4,53,42,26,4,2,18
 105723,Andrey Kuznetsov   ,Hard               ,88,8,3,80,59,28,8,6,19
 105777,Grigor Dimitrov    ,Clay               ,11,4,2,44,34,14,6,6,11
 105777,Grigor Dimitrov    ,Gras               ,11,12,3,52,45,23,2,2,14
 105777,Grigor Dimitrov    ,Hard               ,14,10,3,53,43,20,5,3,14
 105807,Pablo Carreno Busta,Clay               ,61,2,1,36,27,19,2,2,11
 105807,Pablo Carreno Busta,Hard               ,54,9,0,67,48,31,9,7,19
 105936,Filip Krajinovic   ,Hard               ,99,4,3,46,34,16,6,4,13
 106043,Diego Sebastian Sch,Clay               ,62,7,3,83,55,31,7,3,21
 106043,Diego Sebastian Sch,Hard               ,68,4,3,42,32,28,5,3,14
 106058,Jack Sock          ,Clay               ,37,5,8,61,47,33,7,6,17
 106058,Jack Sock          ,Hard               ,44,6,7,46,35,19,4,3,13
 106071,Bernard Tomic      ,Clay               ,26,4,1,65,46,18,8,5,16
 106071,Bernard Tomic      ,Gras               ,26,14,2,84,62,19,8,6,20
 106071,Bernard Tomic      ,Hard               ,38,12,2,66,50,17,6,5,15
 106210,Jiri Vesely        ,Clay               ,40,9,7,59,47,22,8,5,15
 106210,Jiri Vesely        ,Gras               ,45,14,2,70,54,25,5,4,17
 106210,Jiri Vesely        ,Hard               ,48,16,6,74,60,24,4,2,20
 106233,Dominic Thiem      ,Clay               ,43,7,3,52,38,22,6,4,13
 106233,Dominic Thiem      ,Gras               ,30,10,3,76,59,16,6,3,19
 106233,Dominic Thiem      ,Hard               ,41,5,3,47,36,18,4,2,14
 106401,Nick Kyrgios       ,Clay               ,30,7,2,62,49,11,11,9,14
 106401,Nick Kyrgios       ,Gras               ,29,21,4,66,54,21,3,2,17
 106401,Nick Kyrgios       ,Hard               ,47,18,3,73,57,23,6,4,19
 106432,Borna Coric        ,Clay               ,46,4,3,80,50,40,14,9,21
 106432,Borna Coric        ,Gras               ,40,9,9,92,68,42,11,7,26
 106432,Borna Coric        ,Hard               ,52,6,2,50,38,18,5,3,13
