player_id,player_name,surface,ranking,ace,df,firstIn,firstWon,secondWon,bpFaced,bpSaved,SvGms
 103163,Tommy Haas         ,Hard               ,475,12,8,68,51,24,8,6,18
 103285,Radek Stepanek     ,Clay               ,70,3,3,56,40,21,7,5,14
 103285,Radek Stepanek     ,Hard               ,43,4,4,48,37,20,3,2,13
 103333,Ivo Karlovic       ,Gras               ,144,14,1,27,25,9,0,0,8
 103333,Ivo Karlovic       ,Hard               ,166,17,2,55,46,15,3,2,14
 103720,Lleyton Hewitt     ,Gras               ,130,5,7,88,64,28,7,5,20
 103794,Benjamin Becker    ,Hard               ,58,12,2,42,36,18,2,2,12
 103813,Jarkko Nieminen    ,Clay               ,59,3,2,71,47,17,8,5,16
 103813,Jarkko Nieminen    ,Hard               ,51,1,7,66,43,12,14,6,16
 103819,Roger Federer      ,Clay               ,3,7,1,50,40,16,3,2,13
 103819,Roger Federer      ,Gras               ,3,13,0,58,49,18,4,4,15
 103819,Roger Federer      ,Hard               ,3,6,1,41,33,14,2,1,11
 103852,Feliciano Lopez    ,Clay               ,41,11,1,48,38,21,4,2,13
 103852,Feliciano Lopez    ,Gras               ,44,25,4,72,60,27,5,4,20
 103852,Feliciano Lopez    ,Hard               ,29,15,6,51,42,22,7,5,15
 103893,Paolo Lorenzi      ,Clay               ,148,2,2,45,31,12,5,3,11
 103893,Paolo Lorenzi      ,Hard               ,154,0,4,44,33,8,5,3,10
 103898,Julien Benneteau   ,Clay               ,81,7,3,63,44,21,6,4,16
 103898,Julien Benneteau   ,Gras               ,77,22,4,88,72,18,6,4,22
 103898,Julien Benneteau   ,Hard               ,82,5,3,49,37,15,5,4,12
 103970,David Ferrer       ,Clay               ,6,2,2,35,29,13,3,2,10
 103970,David Ferrer       ,Gras               ,6,4,3,67,53,17,5,3,17
 103970,David Ferrer       ,Hard               ,6,4,3,45,34,16,4,3,12
 103990,Tommy Robredo      ,Clay               ,29,2,0,40,29,11,4,4,10
 103990,Tommy Robredo      ,Hard               ,40,4,2,56,39,18,8,5,14
 104022,Mikhail Youzhny    ,Clay               ,13,3,4,58,43,22,8,6,16
 104022,Mikhail Youzhny    ,Gras               ,17,9,2,80,62,20,8,6,19
 104022,Mikhail Youzhny    ,Hard               ,11,6,2,54,43,22,7,6,15
 104122,Carlos Berlocq     ,Clay               ,69,4,2,52,40,14,3,0,15
 104122,Carlos Berlocq     ,Hard               ,73,6,6,46,36,15,7,5,12
 104180,Gilles Muller      ,Gras               ,92,21,1,56,44,10,5,4,12
 104180,Gilles Muller      ,Hard               ,82,19,6,65,54,26,8,6,17
 104198,Guillermo Garcia Lo,Clay               ,31,6,8,62,46,29,10,7,19
 104198,Guillermo Garcia Lo,Gras               ,41,3,2,35,25,6,2,0,9
 104198,Guillermo Garcia Lo,Hard               ,41,6,7,60,44,26,12,7,18
 104229,Yen Hsun Lu        ,Gras               ,57,4,2,54,42,18,4,3,14
 104229,Yen Hsun Lu        ,Hard               ,43,2,2,32,26,12,6,5,8
 104259,Philipp Kohlschreib,Clay               ,38,2,5,58,39,22,10,8,13
 104259,Philipp Kohlschreib,Hard               ,42,8,3,52,37,21,8,6,14
